message;severity;node;stamp;location
"ENCODER: x: 1.055290; y: 2.864850; omega: 4.870488";"20";"tug_turtlebot4.simple_turtle";"1734544746.476261865";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:157"
"POSE: x: 1.031892; y: 2.801680; omega: -1.403117";"20";"tug_turtlebot4.simple_turtle";"1734544746.475133563";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:156"
"ENCODER: x: 1.057465; y: 2.851201; omega: 4.870072";"20";"tug_turtlebot4.simple_turtle";"1734544746.441835293";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:157"
"POSE: x: 1.034185; y: 2.788117; omega: -1.403532";"20";"tug_turtlebot4.simple_turtle";"1734544746.441592784";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:156"
"ENCODER: x: 1.059635; y: 2.837551; omega: 4.869656";"20";"tug_turtlebot4.simple_turtle";"1734544746.407546414";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:157"
"POSE: x: 1.036472; y: 2.774554; omega: -1.403946";"20";"tug_turtlebot4.simple_turtle";"1734544746.407426072";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:156"
"ENCODER: x: 1.061806; y: 2.823857; omega: 4.869614";"20";"tug_turtlebot4.simple_turtle";"1734544746.369622119";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:157"
"POSE: x: 1.038753; y: 2.760990; omega: -1.404360";"20";"tug_turtlebot4.simple_turtle";"1734544746.369406695";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:156"
"ENCODER: x: 1.063964; y: 2.810206; omega: 4.869198";"20";"tug_turtlebot4.simple_turtle";"1734544746.337705743";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:157"
"POSE: x: 1.041029; y: 2.747424; omega: -1.404774";"20";"tug_turtlebot4.simple_turtle";"1734544746.337455749";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:156"
"ENCODER: x: 1.066116; y: 2.796553; omega: 4.868781";"20";"tug_turtlebot4.simple_turtle";"1734544746.303185331";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:157"
"POSE: x: 1.043299; y: 2.733858; omega: -1.405188";"20";"tug_turtlebot4.simple_turtle";"1734544746.302734574";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:156"
"ENCODER: x: 1.068263; y: 2.782900; omega: 4.868365";"20";"tug_turtlebot4.simple_turtle";"1734544746.269870115";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:157"
