x_dis,y_diy,yaw,time
2.08235,0.820205,1.50982,19.302
2.08143,0.8066,1.49529,19.332
2.08032,0.793009,1.48076,19.362
2.07901,0.779436,1.46622,19.392
2.0775,0.765883,1.45169,19.422
2.07579,0.752353,1.43716,19.455
2.07389,0.73885,1.42262,19.482
2.07179,0.725376,1.40809,19.512
2.0695,0.711934,1.39356,19.542
2.06701,0.698527,1.37902,19.572
2.06433,0.685157,1.36449,19.602
2.06145,0.671827,1.34996,19.635
2.05838,0.658541,1.33542,19.662
2.05512,0.645301,1.32089,19.695
2.05166,0.63211,1.30636,19.722
2.04802,0.61897,1.29182,19.752
2.04418,0.605884,1.27729,19.782
2.04015,0.592856,1.26276,19.812
2.03593,0.579888,1.24822,19.842
2.03153,0.566982,1.23369,19.872
2.02694,0.554142,1.21916,19.902
2.02216,0.54137,1.20462,19.932
2.0172,0.528668,1.19009,19.962
2.01205,0.51604,1.17556,19.992
2.00672,0.503488,1.16102,20.022
2.00121,0.491015,1.14649,20.052
1.99552,0.478624,1.13196,20.082
1.98965,0.466316,1.11742,20.112
1.9836,0.454095,1.10289,20.142
1.97737,0.441963,1.08836,20.172
1.97097,0.429923,1.07382,20.202
1.96439,0.417978,1.05929,20.232
1.95764,0.406129,1.04476,20.262
1.95072,0.394379,1.03022,20.292
1.94363,0.382732,1.01569,20.322
1.93637,0.371188,1.00116,20.352
1.92894,0.359751,0.986623,20.382
1.92135,0.348424,0.97209,20.412
1.9136,0.337208,0.957557,20.442
1.90568,0.326106,0.943023,20.475
1.8976,0.31512,0.92849,20.502
1.88936,0.304253,0.913957,20.532
1.88097,0.293506,0.899423,20.562
1.87242,0.282883,0.88489,20.592
1.86372,0.272385,0.870356,20.622
1.85486,0.262014,0.855823,20.652
1.84586,0.251774,0.84129,20.682
1.8367,0.241665,0.826756,20.712
1.82741,0.231691,0.812223,20.742
1.81796,0.221852,0.79769,20.772
1.80838,0.212152,0.783156,20.802
1.79865,0.202592,0.768623,20.832
1.78879,0.193175,0.75409,20.862
1.77879,0.183902,0.739556,20.892
1.76866,0.174775,0.725023,20.922
